"","cell_type","title","donor id","status"
"SRR2775804","LSC","singles-SU070-LSC-46","SU070","AML"
"SRR2775805","LSC","singles-SU070-LSC-47","SU070","AML"
"SRR2775806","LSC","singles-SU070-LSC-48","SU070","AML"
"SRR2775807","LSC","singles-SU070-LSC-49","SU070","AML"
"SRR2775808","LSC","singles-SU070-LSC-50","SU070","AML"
"SRR2775809","LSC","singles-SU070-LSC-51","SU070","AML"
"SRR2775810","LSC","singles-SU070-LSC-52","SU070","AML"
"SRR2775811","LSC","singles-SU070-LSC-53","SU070","AML"
"SRR2775812","LSC","singles-SU070-LSC-54","SU070","AML"
"SRR2775813","LSC","singles-SU070-LSC-55","SU070","AML"
"SRR2775814","LSC","singles-SU070-LSC-56","SU070","AML"
"SRR2775815","LSC","singles-SU070-LSC-57","SU070","AML"
"SRR2775816","LSC","singles-SU070-LSC-58","SU070","AML"
"SRR2775817","LSC","singles-SU070-LSC-59","SU070","AML"
"SRR2775818","LSC","singles-SU070-LSC-60","SU070","AML"
"SRR2775819","LSC","singles-SU070-LSC-61","SU070","AML"
"SRR2775820","LSC","singles-SU070-LSC-62","SU070","AML"
"SRR2775821","LSC","singles-SU070-LSC-63","SU070","AML"
"SRR2775822","LSC","singles-SU070-LSC-64","SU070","AML"
"SRR2775823","LSC","singles-SU070-LSC-65","SU070","AML"
"SRR2775824","LSC","singles-SU070-LSC-66","SU070","AML"
"SRR2775825","LSC","singles-SU070-LSC-67","SU070","AML"
"SRR2775827","LSC","singles-SU070-LSC-68","SU070","AML"
"SRR2775828","LSC","singles-SU070-LSC-69","SU070","AML"
"SRR2775830","LSC","singles-SU070-LSC-70","SU070","AML"
"SRR2775831","LSC","singles-SU070-LSC-71","SU070","AML"
"SRR2775833","LSC","singles-SU070-LSC-72","SU070","AML"
"SRR2775834","LSC","singles-SU070-LSC-73","SU070","AML"
"SRR2775836","LSC","singles-SU070-LSC-74","SU070","AML"
"SRR2775837","LSC","singles-SU070-LSC-75","SU070","AML"
"SRR2775839","LSC","singles-SU070-LSC-76","SU070","AML"
"SRR2775840","LSC","singles-SU070-LSC-77","SU070","AML"
"SRR2775842","LSC","singles-SU070-LSC-78","SU070","AML"
"SRR2775843","LSC","singles-SU070-LSC-79","SU070","AML"
"SRR2775845","LSC","singles-SU070-LSC-80","SU070","AML"
"SRR2775846","LSC","singles-SU070-LSC-81","SU070","AML"
"SRR2775848","LSC","singles-SU070-LSC-82","SU070","AML"
"SRR2775849","LSC","singles-SU070-LSC-83","SU070","AML"
"SRR2775851","LSC","singles-SU070-LSC-84","SU070","AML"
"SRR2775852","LSC","singles-SU070-LSC-85","SU070","AML"
"SRR2775854","LSC","singles-SU070-LSC-86","SU070","AML"
"SRR2775855","LSC","singles-SU070-LSC-87","SU070","AML"
"SRR2775857","LSC","singles-SU070-LSC-88","SU070","AML"
"SRR2775858","LSC","singles-SU070-LSC-89","SU070","AML"
"SRR2775860","LSC","singles-SU070-LSC-90","SU070","AML"
"SRR2775861","LSC","singles-SU070-LSC-91","SU070","AML"
"SRR2775863","LSC","singles-SU070-LSC-92","SU070","AML"
"SRR2775864","LSC","singles-SU070-LSC-93","SU070","AML"
"SRR2775866","LSC","singles-SU070-LSC-94","SU070","AML"
"SRR2775867","LSC","singles-SU070-LSC-95","SU070","AML"
"SRR2775869","LSC","singles-SU070-LSC-96","SU070","AML"
"SRR3985831","blast cell","singles-SU353-Blast-160205-1","SU353","AML"
"SRR3985832","blast cell","singles-SU353-Blast-160205-2","SU353","AML"
"SRR3985833","blast cell","singles-SU353-Blast-160205-3","SU353","AML"
"SRR3985834","blast cell","singles-SU353-Blast-160205-4","SU353","AML"
"SRR3985835","blast cell","singles-SU353-Blast-160205-5","SU353","AML"
"SRR3985836","blast cell","singles-SU353-Blast-160205-6","SU353","AML"
"SRR3985837","blast cell","singles-SU353-Blast-160205-7","SU353","AML"
"SRR3985838","blast cell","singles-SU353-Blast-160205-8","SU353","AML"
"SRR3985839","blast cell","singles-SU353-Blast-160205-9","SU353","AML"
"SRR3985840","blast cell","singles-SU353-Blast-160205-10","SU353","AML"
"SRR3985841","blast cell","singles-SU353-Blast-160205-11","SU353","AML"
"SRR3985842","blast cell","singles-SU353-Blast-160205-12","SU353","AML"
"SRR3985843","blast cell","singles-SU353-Blast-160205-13","SU353","AML"
"SRR3985844","blast cell","singles-SU353-Blast-160205-14","SU353","AML"
"SRR3985845","blast cell","singles-SU353-Blast-160205-15","SU353","AML"
"SRR3985846","blast cell","singles-SU353-Blast-160205-16","SU353","AML"
"SRR3985847","blast cell","singles-SU353-Blast-160205-17","SU353","AML"
"SRR3985848","blast cell","singles-SU353-Blast-160205-18","SU353","AML"
"SRR3985849","blast cell","singles-SU353-Blast-160205-19","SU353","AML"
"SRR3985850","blast cell","singles-SU353-Blast-160205-20","SU353","AML"
"SRR3985851","blast cell","singles-SU353-Blast-160205-21","SU353","AML"
"SRR3985852","blast cell","singles-SU353-Blast-160205-22","SU353","AML"
"SRR3985853","blast cell","singles-SU353-Blast-160205-23","SU353","AML"
"SRR3985854","blast cell","singles-SU353-Blast-160205-24","SU353","AML"
"SRR3985855","blast cell","singles-SU353-Blast-160205-25","SU353","AML"
"SRR3985856","blast cell","singles-SU353-Blast-160205-26","SU353","AML"
"SRR3985857","blast cell","singles-SU353-Blast-160205-27","SU353","AML"
"SRR3985858","blast cell","singles-SU353-Blast-160205-28","SU353","AML"
"SRR3985859","blast cell","singles-SU353-Blast-160205-29","SU353","AML"
"SRR3985860","blast cell","singles-SU353-Blast-160205-30","SU353","AML"
"SRR3985861","blast cell","singles-SU353-Blast-160205-31","SU353","AML"
"SRR3985862","blast cell","singles-SU353-Blast-160205-32","SU353","AML"
"SRR3985863","blast cell","singles-SU353-Blast-160205-33","SU353","AML"
"SRR3985864","blast cell","singles-SU353-Blast-160205-34","SU353","AML"
"SRR3985865","blast cell","singles-SU353-Blast-160205-35","SU353","AML"
"SRR3985866","blast cell","singles-SU353-Blast-160205-36","SU353","AML"
"SRR3985867","blast cell","singles-SU353-Blast-160205-37","SU353","AML"
"SRR3985868","blast cell","singles-SU353-Blast-160205-38","SU353","AML"
"SRR3985869","blast cell","singles-SU353-Blast-160205-39","SU353","AML"
"SRR3985870","blast cell","singles-SU353-Blast-160205-40","SU353","AML"
"SRR3985871","blast cell","singles-SU353-Blast-160205-41","SU353","AML"
"SRR3985872","blast cell","singles-SU353-Blast-160205-42","SU353","AML"
"SRR3985873","blast cell","singles-SU353-Blast-160205-43","SU353","AML"
"SRR3985874","blast cell","singles-SU353-Blast-160205-44","SU353","AML"
"SRR3985875","blast cell","singles-SU353-Blast-160205-45","SU353","AML"
"SRR3985876","blast cell","singles-SU353-Blast-160205-46","SU353","AML"
"SRR3985877","blast cell","singles-SU353-Blast-160205-47","SU353","AML"
"SRR3985878","blast cell","singles-SU353-Blast-160205-48","SU353","AML"
"SRR3985879","blast cell","singles-SU353-Blast-160205-49","SU353","AML"
"SRR3985880","blast cell","singles-SU353-Blast-160205-50","SU353","AML"
"SRR3985881","blast cell","singles-SU353-Blast-160205-51","SU353","AML"
"SRR3985882","blast cell","singles-SU353-Blast-160205-52","SU353","AML"
"SRR3985883","blast cell","singles-SU353-Blast-160205-53","SU353","AML"
"SRR3985884","blast cell","singles-SU353-Blast-160205-54","SU353","AML"
"SRR3985885","blast cell","singles-SU353-Blast-160205-55","SU353","AML"
"SRR3985886","blast cell","singles-SU353-Blast-160205-56","SU353","AML"
"SRR3985887","blast cell","singles-SU353-Blast-160205-57","SU353","AML"
"SRR3985888","blast cell","singles-SU353-Blast-160205-58","SU353","AML"
"SRR3985890","blast cell","singles-SU353-Blast-160205-59","SU353","AML"
"SRR3985891","blast cell","singles-SU353-Blast-160205-60","SU353","AML"
"SRR3985892","blast cell","singles-SU353-Blast-160205-61","SU353","AML"
"SRR3985893","blast cell","singles-SU353-Blast-160205-62","SU353","AML"
"SRR3985894","blast cell","singles-SU353-Blast-160205-63","SU353","AML"
"SRR3985895","blast cell","singles-SU353-Blast-160205-64","SU353","AML"
"SRR3985896","blast cell","singles-SU353-Blast-160205-65","SU353","AML"
"SRR3985897","blast cell","singles-SU353-Blast-160205-66","SU353","AML"
"SRR3985898","blast cell","singles-SU353-Blast-160205-67","SU353","AML"
"SRR3985899","blast cell","singles-SU353-Blast-160205-68","SU353","AML"
"SRR3985900","blast cell","singles-SU353-Blast-160205-69","SU353","AML"
"SRR3985901","blast cell","singles-SU353-Blast-160205-70","SU353","AML"
"SRR3985902","blast cell","singles-SU353-Blast-160205-71","SU353","AML"
"SRR3985903","blast cell","singles-SU353-Blast-160205-72","SU353","AML"
"SRR3985904","blast cell","singles-SU353-Blast-160205-73","SU353","AML"
"SRR3985905","blast cell","singles-SU353-Blast-160205-74","SU353","AML"
"SRR3985906","blast cell","singles-SU353-Blast-160205-75","SU353","AML"
"SRR3985907","blast cell","singles-SU353-Blast-160205-76","SU353","AML"
"SRR3985908","blast cell","singles-SU353-Blast-160205-77","SU353","AML"
"SRR3985909","blast cell","singles-SU353-Blast-160205-78","SU353","AML"
"SRR3985910","blast cell","singles-SU353-Blast-160205-79","SU353","AML"
"SRR3985911","blast cell","singles-SU353-Blast-160205-80","SU353","AML"
"SRR3985912","blast cell","singles-SU353-Blast-160205-81","SU353","AML"
"SRR3985913","blast cell","singles-SU353-Blast-160205-82","SU353","AML"
"SRR3985914","blast cell","singles-SU353-Blast-160205-83","SU353","AML"
"SRR3985915","blast cell","singles-SU353-Blast-160205-84","SU353","AML"
"SRR3985916","blast cell","singles-SU353-Blast-160205-85","SU353","AML"
"SRR3985917","blast cell","singles-SU353-Blast-160205-86","SU353","AML"
"SRR3985918","blast cell","singles-SU353-Blast-160205-87","SU353","AML"
"SRR3985919","blast cell","singles-SU353-Blast-160205-88","SU353","AML"
"SRR3985920","blast cell","singles-SU353-Blast-160205-89","SU353","AML"
"SRR3985921","blast cell","singles-SU353-Blast-160205-90","SU353","AML"
"SRR3985922","blast cell","singles-SU353-Blast-160205-91","SU353","AML"
"SRR3985923","blast cell","singles-SU353-Blast-160205-92","SU353","AML"
"SRR3985924","blast cell","singles-SU353-Blast-160205-93","SU353","AML"
"SRR3985925","blast cell","singles-SU353-Blast-160205-94","SU353","AML"
"SRR3985926","blast cell","singles-SU353-Blast-160205-95","SU353","AML"
"SRR3985927","blast cell","singles-SU353-Blast-160205-96","SU353","AML"
"SRR3985928","LSC","singles-SU353-LSC-160209-1","SU353","AML"
"SRR3985929","LSC","singles-SU353-LSC-160209-2","SU353","AML"
"SRR3985930","LSC","singles-SU353-LSC-160209-3","SU353","AML"
"SRR3985931","LSC","singles-SU353-LSC-160209-4","SU353","AML"
"SRR3985932","LSC","singles-SU353-LSC-160209-5","SU353","AML"
"SRR3985933","LSC","singles-SU353-LSC-160209-6","SU353","AML"
"SRR3985934","LSC","singles-SU353-LSC-160209-7","SU353","AML"
"SRR3985935","LSC","singles-SU353-LSC-160209-8","SU353","AML"
"SRR3985936","LSC","singles-SU353-LSC-160209-9","SU353","AML"
"SRR3985937","LSC","singles-SU353-LSC-160209-10","SU353","AML"
"SRR3985938","LSC","singles-SU353-LSC-160209-11","SU353","AML"
"SRR3985939","LSC","singles-SU353-LSC-160209-12","SU353","AML"
"SRR3985940","LSC","singles-SU353-LSC-160209-13","SU353","AML"
"SRR3985941","LSC","singles-SU353-LSC-160209-14","SU353","AML"
"SRR3985942","LSC","singles-SU353-LSC-160209-15","SU353","AML"
"SRR3985943","LSC","singles-SU353-LSC-160209-16","SU353","AML"
"SRR3985944","LSC","singles-SU353-LSC-160209-17","SU353","AML"
"SRR3985945","LSC","singles-SU353-LSC-160209-18","SU353","AML"
"SRR3985946","LSC","singles-SU353-LSC-160209-19","SU353","AML"
"SRR3985947","LSC","singles-SU353-LSC-160209-20","SU353","AML"
"SRR3985948","LSC","singles-SU353-LSC-160209-21","SU353","AML"
"SRR3985949","LSC","singles-SU353-LSC-160209-22","SU353","AML"
"SRR3985950","LSC","singles-SU353-LSC-160209-23","SU353","AML"
"SRR3985951","LSC","singles-SU353-LSC-160209-24","SU353","AML"
"SRR3985952","LSC","singles-SU353-LSC-160209-25","SU353","AML"
"SRR3985953","LSC","singles-SU353-LSC-160209-26","SU353","AML"
"SRR3985954","LSC","singles-SU353-LSC-160209-27","SU353","AML"
"SRR3985955","LSC","singles-SU353-LSC-160209-28","SU353","AML"
"SRR3985956","LSC","singles-SU353-LSC-160209-29","SU353","AML"
"SRR3985957","LSC","singles-SU353-LSC-160209-30","SU353","AML"
"SRR3985958","LSC","singles-SU353-LSC-160209-31","SU353","AML"
"SRR3985959","LSC","singles-SU353-LSC-160209-32","SU353","AML"
"SRR3985960","LSC","singles-SU353-LSC-160209-33","SU353","AML"
"SRR3985961","LSC","singles-SU353-LSC-160209-34","SU353","AML"
"SRR3985962","LSC","singles-SU353-LSC-160209-35","SU353","AML"
"SRR3985963","LSC","singles-SU353-LSC-160209-36","SU353","AML"
"SRR3985964","LSC","singles-SU353-LSC-160209-37","SU353","AML"
"SRR3985965","LSC","singles-SU353-LSC-160209-38","SU353","AML"
"SRR3985966","LSC","singles-SU353-LSC-160209-39","SU353","AML"
"SRR3985967","LSC","singles-SU353-LSC-160209-40","SU353","AML"
"SRR3985968","LSC","singles-SU353-LSC-160209-41","SU353","AML"
"SRR3985969","LSC","singles-SU353-LSC-160209-42","SU353","AML"
"SRR3985970","LSC","singles-SU353-LSC-160209-43","SU353","AML"
"SRR3985971","LSC","singles-SU353-LSC-160209-44","SU353","AML"
"SRR3985972","LSC","singles-SU353-LSC-160209-45","SU353","AML"
"SRR3985973","LSC","singles-SU353-LSC-160209-46","SU353","AML"
"SRR3985974","LSC","singles-SU353-LSC-160209-47","SU353","AML"
"SRR3985975","LSC","singles-SU353-LSC-160209-48","SU353","AML"
"SRR3985976","LSC","singles-SU353-LSC-160209-49","SU353","AML"
"SRR3985977","LSC","singles-SU353-LSC-160209-50","SU353","AML"
"SRR3985978","LSC","singles-SU353-LSC-160209-51","SU353","AML"
"SRR3985979","LSC","singles-SU353-LSC-160209-52","SU353","AML"
"SRR3985980","LSC","singles-SU353-LSC-160209-53","SU353","AML"
"SRR3985981","LSC","singles-SU353-LSC-160209-54","SU353","AML"
"SRR3985982","LSC","singles-SU353-LSC-160209-55","SU353","AML"
"SRR3985983","LSC","singles-SU353-LSC-160209-56","SU353","AML"
"SRR3985984","LSC","singles-SU353-LSC-160209-57","SU353","AML"
"SRR3985985","LSC","singles-SU353-LSC-160209-58","SU353","AML"
"SRR3985986","LSC","singles-SU353-LSC-160209-59","SU353","AML"
"SRR3985987","LSC","singles-SU353-LSC-160209-60","SU353","AML"
"SRR3985988","LSC","singles-SU353-LSC-160209-61","SU353","AML"
"SRR3985989","LSC","singles-SU353-LSC-160209-62","SU353","AML"
"SRR3985990","LSC","singles-SU353-LSC-160209-63","SU353","AML"
"SRR3985991","LSC","singles-SU353-LSC-160209-64","SU353","AML"
"SRR3985992","LSC","singles-SU353-LSC-160209-65","SU353","AML"
"SRR3985993","LSC","singles-SU353-LSC-160209-66","SU353","AML"
"SRR3985994","LSC","singles-SU353-LSC-160209-67","SU353","AML"
"SRR3985995","LSC","singles-SU353-LSC-160209-68","SU353","AML"
"SRR3985996","LSC","singles-SU353-LSC-160209-69","SU353","AML"
"SRR3985997","LSC","singles-SU353-LSC-160209-70","SU353","AML"
"SRR3985998","LSC","singles-SU353-LSC-160209-71","SU353","AML"
"SRR3985999","LSC","singles-SU353-LSC-160209-72","SU353","AML"
"SRR3986000","LSC","singles-SU353-LSC-160209-73","SU353","AML"
"SRR3986001","LSC","singles-SU353-LSC-160209-74","SU353","AML"
"SRR3986002","LSC","singles-SU353-LSC-160209-75","SU353","AML"
"SRR3986003","LSC","singles-SU353-LSC-160209-76","SU353","AML"
"SRR3986004","LSC","singles-SU353-LSC-160209-77","SU353","AML"
"SRR3986005","LSC","singles-SU353-LSC-160209-78","SU353","AML"
"SRR3986006","LSC","singles-SU353-LSC-160209-79","SU353","AML"
"SRR3986007","LSC","singles-SU353-LSC-160209-80","SU353","AML"
"SRR3986008","LSC","singles-SU353-LSC-160209-81","SU353","AML"
"SRR3986009","LSC","singles-SU353-LSC-160209-82","SU353","AML"
"SRR3986010","LSC","singles-SU353-LSC-160209-83","SU353","AML"
"SRR3986011","LSC","singles-SU353-LSC-160209-84","SU353","AML"
"SRR3986012","LSC","singles-SU353-LSC-160209-85","SU353","AML"
"SRR3986013","LSC","singles-SU353-LSC-160209-86","SU353","AML"
"SRR3986014","LSC","singles-SU353-LSC-160209-87","SU353","AML"
"SRR3986015","LSC","singles-SU353-LSC-160209-88","SU353","AML"
"SRR3986016","LSC","singles-SU353-LSC-160209-89","SU353","AML"
"SRR3986017","LSC","singles-SU353-LSC-160209-90","SU353","AML"
"SRR3986018","LSC","singles-SU353-LSC-160209-91","SU353","AML"
"SRR3986019","LSC","singles-SU353-LSC-160209-92","SU353","AML"
"SRR3986020","LSC","singles-SU353-LSC-160209-93","SU353","AML"
"SRR3986021","LSC","singles-SU353-LSC-160209-94","SU353","AML"
"SRR3986022","LSC","singles-SU353-LSC-160209-95","SU353","AML"
"SRR3986023","LSC","singles-SU353-LSC-160209-96","SU353","AML"
"SRR3986024","LMPP","BM1077-LMPP-Frozen-160107-1","BM1077",NA
"SRR3986025","LMPP","BM1077-LMPP-Frozen-160107-2","BM1077",NA
"SRR3986026","LMPP","BM1077-LMPP-Frozen-160107-3","BM1077",NA
"SRR3986027","LMPP","BM1077-LMPP-Frozen-160107-4","BM1077",NA
"SRR3986028","LMPP","BM1077-LMPP-Frozen-160107-5","BM1077",NA
"SRR3986029","LMPP","BM1077-LMPP-Frozen-160107-6","BM1077",NA
"SRR3986030","LMPP","BM1077-LMPP-Frozen-160107-7","BM1077",NA
"SRR3986031","LMPP","BM1077-LMPP-Frozen-160107-8","BM1077",NA
"SRR3986032","LMPP","BM1077-LMPP-Frozen-160107-9","BM1077",NA
"SRR3986033","LMPP","BM1077-LMPP-Frozen-160107-10","BM1077",NA
